Sample	Sample_Collector	State	Near_Town	Lat	Long	Group	Stage	Picogreen (ng/ul)	Band_Quality	Pop
1740-51875	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	30.37695	Good	1
1740-51868	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	33.791153	Good	1
1740-51775	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	37.512259	Good	1
1740-51894	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	38.997087	Good	1
1740-51717	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	44.417037	Good	1
1740-51820	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	45.088977	Good	1
1710-20605	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	48.248108	Good	1
1740-51863	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	48.388813	Good	1
1740-51644	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	78.52	Good	1
1710-20698	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	112.772	Good	1
1740-51750	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	17.008316	Good	1
1740-51881	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	17.125757	Good	1
1740-91591	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	17.15301027	Good	1
1740-51821	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	17.677763	Good	1
1740-51752	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	18.106653	Good	1
1740-51749	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	18.575475	Good	1
1740-51780	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	22.314459	Good	1
1590-97252	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	22.44	Good	1
1740-51748	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	24.391856	Good	1
1710-20576	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	24.488235	Good	1
1740-51863	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	48.388813	Good	1
1740-51894	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	38.997087	Good	1
1740-91591	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	17.15301027	Good	1
1740-51780	Eben Paxton	AZ_RoosLak	Roosevelt Lake	33.767	-111.2417	ext	Breeding	22.314459	Good	1
1590-97239	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	46.09	Good	2
1590-97241	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	60.38	Good	2
1740-91619	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	61.042654	Good	2
1740-91636	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	62.931737	Good	2
1740-91620	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	65.778665	Good	2
1740-91618	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	75.510102	Good	2
1740-91617	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	78.425164	Good	2
1590-97247	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	116.97	Good	2
1740-91611	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Possible Breeding	255.35156	Good	2
1710-20469	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	12.4	Good	2
1740-91861	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	14.1	Good	2
1710-20383	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	23	Good	2
1710-20402	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	6.56	Good	2
1740-91862	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	12.3	Good	2
1710-20453	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	16.6	Good	2
1710-20482	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	20.8	Good	2
1710-20491	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	33.2	Good	2
1710-20484	Eben Paxton	AZ_Gila	San Pedro/Gila River confluence	32.975	-110.7667	ext	Breeding	35.2	Good	2
1590-97376	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	32.82050189	Good	3
1710-20632	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	41.130643	Good	3
1590-97224	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Possible Breeding	41.52	Good	3
1590-97225	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Possible Breeding	43.53	Good	3
1590-97380	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	47.2396222	Good	3
1590-97379	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	52.1646803	Good	3
1590-97378	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	56.33712129	Good	3
1590-97377	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	11.8687504	Good	3
1710-46399	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	12.76308	Good	3
1590-97262	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	17.33320715	Good	3
1590-97260	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	18.23696413	Good	3
1740-91633	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	23.836368	Good	3
1710-20631	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	25.41606	Good	3
1710-20633	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	25.459746	Good	3
1590-97232	Eben Paxton	AZ_WhiteMt	White Mountains	34	-109	ext	Breeding	26.68	Good	3
1710-46314	Eben Paxton	CA	Bigelow Meadows	41.2583	-121.8833	brw	Breeding	55.64331983	Good	4
1710-20368	Eben Paxton	CA	Bigelow Meadows	41.2583	-121.8833	brw	Breeding	5.631071806	Good	4
1710-20369	Eben Paxton	CA	Bigelow Meadows	41.2583	-121.8833	brw	Breeding	9.575993219	Good	4
1710-20367	Eben Paxton	CA	Bigelow Meadows	41.2583	-121.8833	brw	Breeding	10.95793404	Good	4
1710-46315	Eben Paxton	CA	Bigelow Meadows	41.2583	-121.8833	brw	Breeding	11.53181158	Good	4
1710-20371	Eben Paxton	CA	Bigelow Meadows	41.2583	-121.8833	brw	Breeding	15.7836364	Good	4
1710-46313	Eben Paxton	CA	Bigelow Meadows	41.2583	-121.8833	brw	Breeding	17.77603744	Good	4
2450-87066	Barbara Kus	CA_SanDiego	San Diego	33.276453	-117.374681	ext	Breeding	11.6	Good	5
2580-61405	Barbara Kus	CA_SanDiego	San Diego	33.276453	-117.374681	ext	Breeding	144	Good	5
2580-61407	Barbara Kus	CA_SanDiego	San Diego	33.276453	-117.374681	ext	Breeding	11	Good	5
2640-78803	Barbara Kus	CA_SanDiego	San Diego	33.24833	-116.78548	ext	Breeding	8.84	Good	6
2640-79001	Barbara Kus	CA_SanDiego	San Diego	33.24833	-116.78548	ext	Breeding	12.8	Good	6
2450-87070	Barbara Kus	CA_SanDiego	San Diego	33.276453	-117.374681	ext	Breeding	15.3	Good	5
2640-78804	Barbara Kus	CA_SanDiego	San Diego	33.24833	-116.78548	ext	Breeding	22.4	Good	6
2540-83429	Barbara Kus	CA_SanDiego	San Diego	33.276453	-117.374681	ext	Breeding	19.1	Good	5
2640-79003	Barbara Kus	CA_SanDiego	San Diego	33.24833	-116.78548	ext	Breeding	21.4	Good	6
2580-61406	Barbara Kus	CA_SanDiego	San Diego	33.276453	-117.374681	ext	Breeding	9.1	Good	5
2450-87057	Barbara Kus	CA_SanDiego	San Diego	33.276453	-117.374681	ext	Breeding	28.6	Good	5
2640-87053	Barbara Kus	CA_SanDiego	San Diego	33.24833	-116.78548	ext	Breeding	6.38	Good	6
2640-78802	Barbara Kus	CA_SanDiego	San Diego	33.24833	-116.78548	ext	Breeding	3.2	Good	6
2640-78801	Barbara Kus	CA_SanDiego	San Diego	33.24833	-116.78548	ext	Breeding	5.72	Good	6
2290-20031	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	29.82711233	Good	7
2290-20034	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Possible Breeding	33.61290895	Good	7
2290-20017	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Possible Breeding	45.50893507	Good	7
2170-11865	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	67.60730791	Good	7
2170-11753	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	5.397948958	Good	7
2170-11718	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	6.748834724	Good	7
2170-11728	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	7.073747948	Good	7
2170-11727	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	7.222992133	Good	7
2170-11764	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	7.630215551	Good	7
2170-11717	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	8.115932417	Good	7
2290-20066	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Possible Breeding	8.832343293	Good	7
2170-11725	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	8.962752916	Good	7
2290-20028	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	9.35409781	Good	7
2290-20008	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	11.64528598	Good	7
2290-20029	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	18.63649095	Good	7
2170-11711	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	21.49133228	Good	7
2290-20010	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	21.71469102	Good	7
2290-20023	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Possible Breeding	21.72264556	Good	7
2290-20025	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	24.60501818	Good	7
2170-11726	Mary Whitfield	CA_Kern	South Fork Kern River	35.6594	-118.46425	ext	Breeding	27.95013679	Good	7
1740-91946	Eben Paxton	ID	Fall Creek 2	43.4345	-111.397	ada	Breeding	30.12982037	Good	8
1740-91949	Eben Paxton	ID	Fall Creek 2	43.4345	-111.397	ada	Breeding	42.16750434	Good	8
1740-91947	Eben Paxton	ID	Fall Creek 2	43.4345	-111.397	ada	Breeding	45.39949064	Good	8
1710-20507	Eben Paxton	ID	Fall Creek 2	43.4345	-111.397	ada	Breeding	8.098672497	Good	8
1710-20508	Eben Paxton	ID	Fall Creek 2	43.4345	-111.397	ada	Breeding	8.245171178	Good	8
1740-91950	Eben Paxton	ID	Fall Creek 2	43.4345	-111.397	ada	Breeding	12.57251685	Good	8
1740-91948	Eben Paxton	ID	Fall Creek 2	43.4345	-111.397	ada	Breeding	21.11226307	Good	8
1740-91943	Eben Paxton	ID	Mink Creek	42.7507	-112.3923	ada	Breeding	40.37571277	Good	9
1740-91942	Eben Paxton	ID	Mink Creek	42.7507	-112.3923	ada	Breeding	51.62455769	Good	9
1740-91941	Eben Paxton	ID	Mink Creek	42.7507	-112.3923	ada	Breeding	56.05557935	Good	9
1740-91940	Eben Paxton	ID	Mink Creek	42.7507	-112.3923	ada	Breeding	65.63208547	Good	9
1740-91944	Eben Paxton	ID	Mink Creek	42.7507	-112.3923	ada	Breeding	89.67815367	Good	9
1740-91939	Eben Paxton	ID	Mink Creek	42.7507	-112.3923	ada	Breeding	16.64518019	Good	9
1740-91794	Eben Paxton	IN	Willow Slew	40.9833	-87.525	tra	Breeding	182.4271369	Good	
1740-91792	Eben Paxton	IN	Willow Slew	40.9833	-87.525	tra	Breeding	355.14173	Good	
1740-91791	Eben Paxton	IN	Willow Slew	40.9833	-87.525	tra	Breeding	7.365584301	Good	
1740-91793	Eben Paxton	IN	Willow Slew	40.9833	-87.525	tra	Breeding	12.295558	Good	
